"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0071827"	"GO:0071827"	"plasma lipoprotein particle organization"	"3/11"	"45/18903"	2.052580949829e-06	4.43015388338093e-05	1.88153253734325e-05	"APOA5/APOE/APOA4"	3
"GO:0071825"	"GO:0071825"	"protein-lipid complex subunit organization"	"3/11"	"48/18903"	2.49947915976951e-06	5.17892081904242e-05	2.19954166059717e-05	"APOA5/APOE/APOA4"	3
"GO:0042060"	"GO:0042060"	"wound healing"	"5/11"	"442/18903"	2.81082081352448e-06	5.60001992848338e-05	2.37838684221302e-05	"SAA1/F13A1/APOE/FGA/F13B"	5
"GO:0006695"	"GO:0006695"	"cholesterol biosynthetic process"	"3/11"	"58/18903"	4.44491128380699e-06	8.22308587504293e-05	3.49243029441978e-05	"APOA5/APOE/APOA4"	3
"GO:1902653"	"GO:1902653"	"secondary alcohol biosynthetic process"	"3/11"	"58/18903"	4.44491128380699e-06	8.22308587504293e-05	3.49243029441978e-05	"APOA5/APOE/APOA4"	3
"GO:0016126"	"GO:0016126"	"sterol biosynthetic process"	"3/11"	"65/18903"	6.27826536412137e-06	0.000112142808917754	4.76282200036794e-05	"APOA5/APOE/APOA4"	3
"GO:0033344"	"GO:0033344"	"cholesterol efflux"	"3/11"	"71/18903"	8.19941339990958e-06	0.000141576538038439	6.01290315993369e-05	"APOA5/APOE/APOA4"	3
"GO:0032371"	"GO:0032371"	"regulation of sterol transport"	"3/11"	"81/18903"	1.22010824616999e-05	0.000197505022348767	8.3882441924187e-05	"APOA5/APOE/APOA4"	3
"GO:0032374"	"GO:0032374"	"regulation of cholesterol transport"	"3/11"	"81/18903"	1.22010824616999e-05	0.000197505022348767	8.3882441924187e-05	"APOA5/APOE/APOA4"	3
"GO:0097006"	"GO:0097006"	"regulation of plasma lipoprotein particle levels"	"3/11"	"84/18903"	1.36129775394515e-05	0.000198834104654145	8.44469170345791e-05	"APOA5/APOE/APOA4"	3
"GO:0030300"	"GO:0030300"	"regulation of intestinal cholesterol absorption"	"2/11"	"10/18903"	1.38185864238402e-05	0.000198834104654145	8.44469170345791e-05	"APOA5/APOA4"	2
"GO:0051006"	"GO:0051006"	"positive regulation of lipoprotein lipase activity"	"2/11"	"10/18903"	1.38185864238402e-05	0.000198834104654145	8.44469170345791e-05	"APOA5/APOA4"	2
"GO:1905918"	"GO:1905918"	"regulation of CoA-transferase activity"	"2/11"	"10/18903"	1.38185864238402e-05	0.000198834104654145	8.44469170345791e-05	"APOE/APOA4"	2
"GO:0046889"	"GO:0046889"	"positive regulation of lipid biosynthetic process"	"3/11"	"88/18903"	1.56577639646987e-05	0.000219208695505781	9.31002181684785e-05	"APOA5/APOE/APOA4"	3
"GO:0061365"	"GO:0061365"	"positive regulation of triglyceride lipase activity"	"2/11"	"11/18903"	1.68840219833014e-05	0.00022425444582949	9.52432009314437e-05	"APOA5/APOA4"	2
"GO:1904729"	"GO:1904729"	"regulation of intestinal lipid absorption"	"2/11"	"11/18903"	1.68840219833014e-05	0.00022425444582949	9.52432009314437e-05	"APOA5/APOA4"	2
"GO:0042632"	"GO:0042632"	"cholesterol homeostasis"	"3/11"	"100/18903"	2.29843785130004e-05	0.000284919003206264	0.000121008070859803	"APOA5/APOE/APOA4"	3
"GO:0098869"	"GO:0098869"	"cellular oxidant detoxification"	"3/11"	"100/18903"	2.29843785130004e-05	0.000284919003206264	0.000121008070859803	"HP/APOE/APOA4"	3
"GO:0055092"	"GO:0055092"	"sterol homeostasis"	"3/11"	"101/18903"	2.36804465909204e-05	0.000284919003206264	0.000121008070859803	"APOA5/APOE/APOA4"	3
"GO:1904478"	"GO:1904478"	"regulation of intestinal absorption"	"2/11"	"13/18903"	2.3929413289434e-05	0.000284919003206264	0.000121008070859803	"APOA5/APOA4"	2
"GO:0019218"	"GO:0019218"	"regulation of steroid metabolic process"	"3/11"	"102/18903"	2.43902744993521e-05	0.000284919003206264	0.000121008070859803	"APOA5/APOE/APOA4"	3
"GO:0008202"	"GO:0008202"	"steroid metabolic process"	"4/11"	"323/18903"	2.51175702103032e-05	0.000284919003206264	0.000121008070859803	"APOA5/APOL1/APOE/APOA4"	4
"GO:0006641"	"GO:0006641"	"triglyceride metabolic process"	"3/11"	"104/18903"	2.58517242291398e-05	0.000284919003206264	0.000121008070859803	"APOA5/APOE/APOA4"	3
"GO:0015914"	"GO:0015914"	"phospholipid transport"	"3/11"	"104/18903"	2.58517242291398e-05	0.000284919003206264	0.000121008070859803	"APOA5/APOE/APOA4"	3
"GO:0010896"	"GO:0010896"	"regulation of triglyceride catabolic process"	"2/11"	"14/18903"	2.79087865658309e-05	0.000301182321689592	0.000127915271760058	"APOA5/APOA4"	2
"GO:0051604"	"GO:0051604"	"protein maturation"	"4/11"	"336/18903"	2.93189581999025e-05	0.00030994327239897	0.000131636138856705	"HP/F13A1/FGA/F13B"	4
"GO:1990748"	"GO:1990748"	"cellular detoxification"	"3/11"	"115/18903"	3.49284815995599e-05	0.00036185906937144	0.000153685319038064	"HP/APOE/APOA4"	3
"GO:0034375"	"GO:0034375"	"high-density lipoprotein particle remodeling"	"2/11"	"16/18903"	3.67794335782872e-05	0.000373563658697113	0.000158656380141631	"APOE/APOA4"	2
"GO:0030301"	"GO:0030301"	"cholesterol transport"	"3/11"	"121/18903"	4.06614440465616e-05	0.000404701783740853	0.000171881066453644	"APOA5/APOE/APOA4"	3
"GO:0006066"	"GO:0006066"	"alcohol metabolic process"	"4/11"	"367/18903"	4.14077114638325e-05	0.000404701783740853	0.000171881066453644	"APOA5/APOL1/APOE/APOA4"	4
"GO:0097237"	"GO:0097237"	"cellular response to toxic substance"	"3/11"	"123/18903"	4.27014929544109e-05	0.000409618025007127	0.000173969045369822	"HP/APOE/APOA4"	3
"GO:0030299"	"GO:0030299"	"intestinal cholesterol absorption"	"2/11"	"19/18903"	5.23607964349412e-05	0.000481513914046286	0.000204503978938577	"APOA5/APOA4"	2
"GO:0006639"	"GO:0006639"	"acylglycerol metabolic process"	"3/11"	"132/18903"	5.27153450185076e-05	0.000481513914046286	0.000204503978938577	"APOA5/APOE/APOA4"	3
"GO:0006638"	"GO:0006638"	"neutral lipid metabolic process"	"3/11"	"133/18903"	5.3914685356534e-05	0.000481513914046286	0.000204503978938577	"APOA5/APOE/APOA4"	3
"GO:0030168"	"GO:0030168"	"platelet activation"	"3/11"	"133/18903"	5.3914685356534e-05	0.000481513914046286	0.000204503978938577	"SAA1/APOE/FGA"	3
"GO:0015918"	"GO:0015918"	"sterol transport"	"3/11"	"135/18903"	5.63668639048333e-05	0.000493884928544887	0.000209758077760377	"APOA5/APOE/APOA4"	3
"GO:0043691"	"GO:0043691"	"reverse cholesterol transport"	"2/11"	"20/18903"	5.81601942881044e-05	0.000493884928544887	0.000209758077760377	"APOE/APOA4"	2
"GO:0051004"	"GO:0051004"	"regulation of lipoprotein lipase activity"	"2/11"	"20/18903"	5.81601942881044e-05	0.000493884928544887	0.000209758077760377	"APOA5/APOA4"	2
"GO:0046165"	"GO:0046165"	"alcohol biosynthetic process"	"3/11"	"143/18903"	6.69068947891367e-05	0.000558996314528594	0.000237411562155001	"APOA5/APOE/APOA4"	3
"GO:0015748"	"GO:0015748"	"organophosphate ester transport"	"3/11"	"148/18903"	7.41084558607735e-05	0.000607246382238564	0.000257903868904409	"APOA5/APOE/APOA4"	3
"GO:0044241"	"GO:0044241"	"lipid digestion"	"2/11"	"23/18903"	7.73711606713228e-05	0.000607246382238564	0.000257903868904409	"APOA5/APOA4"	2
"GO:0045723"	"GO:0045723"	"positive regulation of fatty acid biosynthetic process"	"2/11"	"23/18903"	7.73711606713228e-05	0.000607246382238564	0.000257903868904409	"APOA5/APOA4"	2
"GO:0098856"	"GO:0098856"	"intestinal lipid absorption"	"2/11"	"23/18903"	7.73711606713228e-05	0.000607246382238564	0.000257903868904409	"APOA5/APOA4"	2
"GO:0006869"	"GO:0006869"	"lipid transport"	"4/11"	"433/18903"	7.88598098754603e-05	0.000609692261425201	0.000258942659292556	"APOA5/APOL1/APOE/APOA4"	4
"GO:0062013"	"GO:0062013"	"positive regulation of small molecule metabolic process"	"3/11"	"152/18903"	8.02221660112464e-05	0.000611104146968024	0.000259542301801091	"APOA5/APOE/APOA4"	3
"GO:0045834"	"GO:0045834"	"positive regulation of lipid metabolic process"	"3/11"	"154/18903"	8.3399160202223e-05	0.000611658085287153	0.000259777565179872	"APOA5/APOE/APOA4"	3
"GO:0098754"	"GO:0098754"	"detoxification"	"3/11"	"154/18903"	8.3399160202223e-05	0.000611658085287153	0.000259777565179872	"HP/APOE/APOA4"	3
"GO:0090208"	"GO:0090208"	"positive regulation of triglyceride metabolic process"	"2/11"	"24/18903"	8.43781088083702e-05	0.000611658085287153	0.000259777565179872	"APOA5/APOA4"	2
"GO:0032368"	"GO:0032368"	"regulation of lipid transport"	"3/11"	"155/18903"	8.50181122406854e-05	0.000611658085287153	0.000259777565179872	"APOA5/APOE/APOA4"	3
"GO:0050996"	"GO:0050996"	"positive regulation of lipid catabolic process"	"2/11"	"28/18903"	0.000115414656335636	0.000818969753176156	0.000347824991696437	"APOA5/APOA4"	2
"GO:0055088"	"GO:0055088"	"lipid homeostasis"	"3/11"	"174/18903"	0.000119801591874815	0.000831877097551182	0.000353306875407838	"APOA5/APOE/APOA4"	3
"GO:0010876"	"GO:0010876"	"lipid localization"	"4/11"	"483/18903"	0.000120445525707217	0.000831877097551182	0.000353306875407838	"APOA5/APOL1/APOE/APOA4"	4
"GO:0006694"	"GO:0006694"	"steroid biosynthetic process"	"3/11"	"178/18903"	0.000128141900258711	0.000873388214921214	0.000370937079696268	"APOA5/APOE/APOA4"	3
"GO:0042744"	"GO:0042744"	"hydrogen peroxide catabolic process"	"2/11"	"30/18903"	0.000132734142617839	0.000892938777610917	0.00037924040747954	"HP/APOA4"	2
"GO:0046890"	"GO:0046890"	"regulation of lipid biosynthetic process"	"3/11"	"182/18903"	0.000136852923280991	0.000908843772558375	0.000385995424638692	"APOA5/APOE/APOA4"	3
"GO:0019433"	"GO:0019433"	"triglyceride catabolic process"	"2/11"	"31/18903"	0.000141843180058271	0.000930029629949452	0.000394993279129111	"APOA5/APOA4"	2
"GO:1905952"	"GO:1905952"	"regulation of lipid localization"	"3/11"	"185/18903"	0.000143633919683313	0.000930029629949452	0.000394993279129111	"APOA5/APOE/APOA4"	3
"GO:0000302"	"GO:0000302"	"response to reactive oxygen species"	"3/11"	"204/18903"	0.000191718268404654	0.00121205558352445	0.000514772641651311	"HP/APOE/APOA4"	3
"GO:0018149"	"GO:0018149"	"peptide cross-linking"	"2/11"	"36/18903"	0.000191869802797307	0.00121205558352445	0.000514772641651311	"F13A1/F13B"	2
"GO:0045923"	"GO:0045923"	"positive regulation of fatty acid metabolic process"	"2/11"	"40/18903"	0.00023725159544511	0.00148067863181406	0.000628859650577401	"APOA5/APOA4"	2
"GO:0046461"	"GO:0046461"	"neutral lipid catabolic process"	"2/11"	"41/18903"	0.000249339168117778	0.00151950222452952	0.000645348435128367	"APOA5/APOA4"	2
"GO:0046464"	"GO:0046464"	"acylglycerol catabolic process"	"2/11"	"41/18903"	0.000249339168117778	0.00151950222452952	0.000645348435128367	"APOA5/APOA4"	2
"GO:0050892"	"GO:0050892"	"intestinal absorption"	"2/11"	"42/18903"	0.000261723018334496	0.00157642469182871	0.000669524000390571	"APOA5/APOA4"	2
"GO:0044058"	"GO:0044058"	"regulation of digestive system process"	"2/11"	"44/18903"	0.000287378408340632	0.00171105764966031	0.000726704021091252	"APOA5/APOA4"	2
"GO:1901617"	"GO:1901617"	"organic hydroxy compound biosynthetic process"	"3/11"	"245/18903"	0.000328600614385881	0.0019342627074078	0.000821501535964701	"APOA5/APOE/APOA4"	3
"GO:0006953"	"GO:0006953"	"acute-phase response"	"2/11"	"48/18903"	0.000342231955442481	0.00199186688673264	0.000845966631430852	"SAA1/HP"	2
"GO:0009636"	"GO:0009636"	"response to toxic substance"	"3/11"	"250/18903"	0.000348661701867207	0.00200674179519126	0.000852284160119838	"HP/APOE/APOA4"	3
"GO:0030195"	"GO:0030195"	"negative regulation of blood coagulation"	"2/11"	"50/18903"	0.000371425552697745	0.00206880039029497	0.000878641092403268	"APOE/FGA"	2
"GO:0042304"	"GO:0042304"	"regulation of fatty acid biosynthetic process"	"2/11"	"50/18903"	0.000371425552697745	0.00206880039029497	0.000878641092403268	"APOA5/APOA4"	2
"GO:0120009"	"GO:0120009"	"intermembrane lipid transfer"	"2/11"	"50/18903"	0.000371425552697745	0.00206880039029497	0.000878641092403268	"APOE/APOA4"	2
"GO:0050708"	"GO:0050708"	"regulation of protein secretion"	"3/11"	"257/18903"	0.000378056048063582	0.00208333013720144	0.000884812027382851	"SAA1/APOE/FGA"	3
"GO:1900047"	"GO:1900047"	"negative regulation of hemostasis"	"2/11"	"51/18903"	0.000386463061219995	0.00210724069170481	0.00089496708914104	"APOE/FGA"	2
"GO:0050819"	"GO:0050819"	"negative regulation of coagulation"	"2/11"	"54/18903"	0.000433335016855134	0.00233820352844749	0.000993059413626348	"APOE/FGA"	2
"GO:0042743"	"GO:0042743"	"hydrogen peroxide metabolic process"	"2/11"	"55/18903"	0.000449544532729705	0.002400660494371	0.00101958553814985	"HP/APOA4"	2
"GO:0015850"	"GO:0015850"	"organic hydroxy compound transport"	"3/11"	"292/18903"	0.000549114912864626	0.00290246453942731	0.00123270694724712	"APOA5/APOE/APOA4"	3
"GO:0050994"	"GO:0050994"	"regulation of lipid catabolic process"	"2/11"	"63/18903"	0.000589719428186281	0.00308560266465145	0.00131048761819174	"APOA5/APOA4"	2
"GO:0031638"	"GO:0031638"	"zymogen activation"	"2/11"	"67/18903"	0.000666776675478297	0.00345390317897758	0.00146690868605225	"HP/FGA"	2
"GO:0046503"	"GO:0046503"	"glycerolipid catabolic process"	"2/11"	"68/18903"	0.000686763954587519	0.00348768361251309	0.00148125558832602	"APOA5/APOA4"	2
"GO:0060193"	"GO:0060193"	"positive regulation of lipase activity"	"2/11"	"68/18903"	0.000686763954587519	0.00348768361251309	0.00148125558832602	"APOA5/APOA4"	2
"GO:0030193"	"GO:0030193"	"regulation of blood coagulation"	"2/11"	"70/18903"	0.000727604105254772	0.00365921287885409	0.00155410585588398	"APOE/FGA"	2
"GO:1900046"	"GO:1900046"	"regulation of hemostasis"	"2/11"	"72/18903"	0.00076959650732315	0.00383318260378261	0.00162799261164512	"APOE/FGA"	2
"GO:0016042"	"GO:0016042"	"lipid catabolic process"	"3/11"	"336/18903"	0.000826063585582336	0.00407524702220619	0.00173079989360108	"APOA5/APOE/APOA4"	3
"GO:0050818"	"GO:0050818"	"regulation of coagulation"	"2/11"	"75/18903"	0.000834740674458045	0.00407920442801196	0.0017324806451016	"APOE/FGA"	2
"GO:0062012"	"GO:0062012"	"regulation of small molecule metabolic process"	"3/11"	"339/18903"	0.000847642409812956	0.00410353989049637	0.00174281616970888	"APOA5/APOE/APOA4"	3
"GO:0046470"	"GO:0046470"	"phosphatidylcholine metabolic process"	"2/11"	"77/18903"	0.000879603895058518	0.00421884090407697	0.00179178571215624	"APOA5/APOA4"	2
"GO:0061045"	"GO:0061045"	"negative regulation of wound healing"	"2/11"	"78/18903"	0.000902464799143755	0.0042708783509092	0.0018138865583012	"APOE/FGA"	2
"GO:0019216"	"GO:0019216"	"regulation of lipid metabolic process"	"3/11"	"347/18903"	0.000906943279150602	0.0042708783509092	0.0018138865583012	"APOA5/APOE/APOA4"	3
"GO:0009306"	"GO:0009306"	"protein secretion"	"3/11"	"359/18903"	0.0010007703575746	0.00466596571960075	0.00198168428245592	"SAA1/APOE/FGA"	3
"GO:0035592"	"GO:0035592"	"establishment of protein localization to extracellular region"	"3/11"	"360/18903"	0.00100885745288665	0.00466596571960075	0.00198168428245592	"SAA1/APOE/FGA"	3
"GO:0071692"	"GO:0071692"	"protein localization to extracellular region"	"3/11"	"368/18903"	0.00107506174573859	0.00492815915303179	0.0020930405669247	"SAA1/APOE/FGA"	3
"GO:0060191"	"GO:0060191"	"regulation of lipase activity"	"2/11"	"90/18903"	0.00119901017367406	0.0054481339470453	0.00231387928252889	"APOA5/APOA4"	2
"GO:1903035"	"GO:1903035"	"negative regulation of response to wounding"	"2/11"	"94/18903"	0.00130692187266751	0.00588683069601541	0.00250019836510307	"APOE/FGA"	2
"GO:0046486"	"GO:0046486"	"glycerolipid metabolic process"	"3/11"	"399/18903"	0.00135761487629996	0.00598143863566707	0.0025403793433335	"APOA5/APOE/APOA4"	3
"GO:0019217"	"GO:0019217"	"regulation of fatty acid metabolic process"	"2/11"	"96/18903"	0.00136256710233343	0.00598143863566707	0.0025403793433335	"APOA5/APOA4"	2
"GO:0045807"	"GO:0045807"	"positive regulation of endocytosis"	"2/11"	"96/18903"	0.00136256710233343	0.00598143863566707	0.0025403793433335	"APOA5/APOE"	2
"GO:0022600"	"GO:0022600"	"digestive system process"	"2/11"	"106/18903"	0.00165759876221573	0.00721542990611554	0.00306446829989463	"APOA5/APOA4"	2
"GO:0031331"	"GO:0031331"	"positive regulation of cellular catabolic process"	"3/11"	"429/18903"	0.00167219589844743	0.00721831229496472	0.00306569248048695	"APOA5/APOE/APOA4"	3
"GO:0051341"	"GO:0051341"	"regulation of oxidoreductase activity"	"2/11"	"108/18903"	0.00171995079043775	0.00733996451710651	0.00311735944741975	"HP/APOE"	2
"GO:0006979"	"GO:0006979"	"response to oxidative stress"	"3/11"	"434/18903"	0.00172871751175095	0.00733996451710651	0.00311735944741975	"HP/APOE/APOA4"	3
"GO:0032102"	"GO:0032102"	"negative regulation of response to external stimulus"	"3/11"	"436/18903"	0.00175166031741705	0.00737691093026044	0.00313305097424189	"SAA1/APOE/FGA"	3
"GO:0002526"	"GO:0002526"	"acute inflammatory response"	"2/11"	"114/18903"	0.00191365877943474	0.0079941552237677	0.00339520106028744	"SAA1/HP"	2
"GO:0051702"	"GO:0051702"	"biological process involved in interaction with symbiont"	"2/11"	"116/18903"	0.00198043812146921	0.00820693557536841	0.00348557109378581	"APOL1/APOE"	2
"GO:0010565"	"GO:0010565"	"regulation of cellular ketone metabolic process"	"2/11"	"136/18903"	0.00270844833208074	0.0111347320318875	0.0047290367702997	"APOA5/APOA4"	2
"GO:0061041"	"GO:0061041"	"regulation of wound healing"	"2/11"	"137/18903"	0.00274770103043234	0.0112071585335744	0.00475979706059145	"APOE/FGA"	2
"GO:0007586"	"GO:0007586"	"digestion"	"2/11"	"139/18903"	0.00282701513582812	0.0114405768778044	0.00485893226470459	"APOA5/APOA4"	2
"GO:0035296"	"GO:0035296"	"regulation of tube diameter"	"2/11"	"147/18903"	0.00315501498832144	0.0125715212611578	0.00533925613408244	"APOE/FGA"	2
"GO:0097746"	"GO:0097746"	"blood vessel diameter maintenance"	"2/11"	"147/18903"	0.00315501498832144	0.0125715212611578	0.00533925613408244	"APOE/FGA"	2
"GO:0035150"	"GO:0035150"	"regulation of tube size"	"2/11"	"148/18903"	0.00319721918739625	0.0126424392295516	0.00536937573455859	"APOE/FGA"	2
"GO:0006633"	"GO:0006633"	"fatty acid biosynthetic process"	"2/11"	"164/18903"	0.00390857833634514	0.0153382089259605	0.0065142972272419	"APOA5/APOA4"	2
"GO:1903034"	"GO:1903034"	"regulation of response to wounding"	"2/11"	"172/18903"	0.00428952243688038	0.0167065610699552	0.00709545064747131	"APOE/FGA"	2
"GO:0050728"	"GO:0050728"	"negative regulation of inflammatory response"	"2/11"	"184/18903"	0.00489213965616099	0.0189114055365029	0.00803187107727923	"SAA1/APOE"	2
"GO:0031099"	"GO:0031099"	"regeneration"	"2/11"	"192/18903"	0.00531448976213741	0.0203918940502754	0.00866064998274245	"APOA5/APOA4"	2
"GO:0006707"	"GO:0006707"	"cholesterol catabolic process"	"1/11"	"10/18903"	0.00580534598891391	0.0213274412926057	0.00905798664936923	"APOE"	1
"GO:0014012"	"GO:0014012"	"peripheral nervous system axon regeneration"	"1/11"	"10/18903"	0.00580534598891391	0.0213274412926057	0.00905798664936923	"APOA4"	1
"GO:0016127"	"GO:0016127"	"sterol catabolic process"	"1/11"	"10/18903"	0.00580534598891391	0.0213274412926057	0.00905798664936923	"APOE"	1
"GO:0097113"	"GO:0097113"	"AMPA glutamate receptor clustering"	"1/11"	"10/18903"	0.00580534598891391	0.0213274412926057	0.00905798664936923	"APOE"	1
"GO:0097688"	"GO:0097688"	"glutamate receptor clustering"	"1/11"	"10/18903"	0.00580534598891391	0.0213274412926057	0.00905798664936923	"APOE"	1
"GO:1903365"	"GO:1903365"	"regulation of fear response"	"1/11"	"10/18903"	0.00580534598891391	0.0213274412926057	0.00905798664936923	"APOE"	1
"GO:0030100"	"GO:0030100"	"regulation of endocytosis"	"2/11"	"209/18903"	0.00626603562917593	0.0228577919430502	0.00970794252407539	"APOA5/APOE"	2
"GO:2000644"	"GO:2000644"	"regulation of receptor catabolic process"	"1/11"	"11/18903"	0.00638419218560715	0.0231259549101014	0.00982183413170331	"APOE"	1
"GO:0030258"	"GO:0030258"	"lipid modification"	"2/11"	"213/18903"	0.00650050719299252	0.0233837689303481	0.00993133043373857	"APOA5/APOA4"	2
"GO:0042180"	"GO:0042180"	"cellular ketone metabolic process"	"2/11"	"218/18903"	0.00679921361202201	0.0241232373358041	0.0102453903742797	"APOA5/APOA4"	2
"GO:0072330"	"GO:0072330"	"monocarboxylic acid biosynthetic process"	"2/11"	"218/18903"	0.00679921361202201	0.0241232373358041	0.0102453903742797	"APOA5/APOA4"	2
"GO:0090209"	"GO:0090209"	"negative regulation of triglyceride metabolic process"	"1/11"	"12/18903"	0.00696273198477881	0.0242060078397008	0.0102805438701432	"APOE"	1
"GO:1900272"	"GO:1900272"	"negative regulation of long-term synaptic potentiation"	"1/11"	"12/18903"	0.00696273198477881	0.0242060078397008	0.0102805438701432	"APOE"	1
"GO:1902950"	"GO:1902950"	"regulation of dendritic spine maintenance"	"1/11"	"12/18903"	0.00696273198477881	0.0242060078397008	0.0102805438701432	"APOE"	1
"GO:0044242"	"GO:0044242"	"cellular lipid catabolic process"	"2/11"	"222/18903"	0.00704265239848512	0.0243206262827686	0.0103292235177782	"APOA5/APOA4"	2
"GO:0070374"	"GO:0070374"	"positive regulation of ERK1 and ERK2 cascade"	"2/11"	"223/18903"	0.00710413131220462	0.0243704637067682	0.0103503899912915	"APOE/FGA"	2
"GO:1905907"	"GO:1905907"	"negative regulation of amyloid fibril formation"	"1/11"	"13/18903"	0.00754096553240335	0.0256988167485851	0.010914555375847	"APOE"	1
"GO:0072593"	"GO:0072593"	"reactive oxygen species metabolic process"	"2/11"	"235/18903"	0.00786108563360214	0.0266146559359863	0.0113035218260946	"HP/APOA4"	2
"GO:2001140"	"GO:2001140"	"positive regulation of phospholipid transport"	"1/11"	"14/18903"	0.00811889297439061	0.0273090036411321	0.0115984185348437	"APOE"	1
"GO:0032488"	"GO:0032488"	"Cdc42 protein signal transduction"	"1/11"	"15/18903"	0.00869651445659114	0.0281549655532138	0.0119577073778128	"APOE"	1
